n,loss_train_discriminator,loss_test_generator,loss_train_generator,loss_test_discriminator,duration
1,3.075,0.744140625,1.056597900390625,2.171875,0 days 00:07:12.802271
2,2.32734375,0.49853515625,0.520556640625,2.3203125,0 days 00:07:14.099170
3,2.333984375,0.490234375,0.48916015625,2.328125,0 days 00:07:15.163335
4,2.322265625,0.49267578125,0.494091796875,2.3203125,0 days 00:07:13.640176
5,2.31796875,0.4814453125,0.494873046875,2.328125,0 days 00:07:13.160613
