n,loss_train_discriminator,loss_test_generator,loss_train_generator,loss_test_discriminator,duration
1,0.77587890625,0.3154296875,0.330902099609375,0.748046875,0 days 00:01:40.994432
2,0.7105712890625,0.359375,0.3531494140625,0.6875,0 days 00:01:37.738657
3,0.691162109375,0.35205078125,0.369384765625,0.697265625,0 days 00:01:40.592020
4,0.6815185546875,0.4033203125,0.375244140625,0.625,0 days 00:01:37.420886
5,0.6505126953125,0.375,0.38818359375,0.6318359375,0 days 00:01:38.307778
